Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),Mileage(kmpl),Emission,Price
Renault Triber RXT,Renault,Triber,2020,yellow,muv,35400,1st,7,petrol,40,1.0L Petrol Engine,999,5-Speed,Manual,71,96,20,BS IV,"6,13,000"
Chevrolet Cruze [2009-2017] LTZ AT,Chevrolet,Cruze,2013,white,sedan,71450,1st,5,diesel,60,VCDi 16V SOHC,1991,6-Speed,Automatic,164,380,17,BS IV,"5,98,000"
Hyundai Venue [2019-2022] SX Plus 1.0 Turbo DCT,Hyundai,Venue,2019,grey,suv,32395,1st,5,petrol,45,Kappa 1.0 L Turbo GDi Petrol,998,7-Speed,Automatic,118.35,171.6,18.15,BS V,"9,69,000"
Tata Safari XZA Plus,Tata,Safari,2021,grey,suv,15059,1st,7,diesel,50,Kryotec 2.0 L Turbocharged Engine,1956,6-Speed,Automatic,167.67,350,17,BS IV,"21,00,000"
Maruti Suzuki Swift [2017-2021] ZXI,Maruti Suzuki,Swift,2019,white,hatchback,31994,1st,5,petrol,37,VTVT Engine,1197,5-Speed,Manual,81.8,113,21.21,BS IV,"6,66,000"
Toyota Yaris [2018-2021] J CVT,Toyota,Yaris,2020,white,sedan,13768,1st,5,petrol,42,1.5 Dual VVT-i Engine,1496,CVT,Automatic,105.94,140,17.18,BS IV,"10,39,000"
Tata Punch Creative Kaziranga Edition,Tata,Punch,2022,beige,suv,3174,1st,5,petrol,37,1.2 Revotron,1199,5-Speed,Manual,84,113,18.9,BS IV,"8,58,000"
Renault Duster [2015-2019] 110 PS RXZ 4X2 AMT,Renault,Duster,2017,orange,suv,70137,1st,5,diesel,50,dCi THP Diesel Engine,1461,6-Speed,Automatic,108.45,245,19.6,BS V,"8,60,000"
Toyota Yaris [2018-2021] J,Toyota,Yaris,2018,white,sedan,35913,2nd,5,petrol,42,1.5 Dual VVT-i Engine,1496,6-Speed,Automatic,105.94,140,17.18,BS IV,"6,80,000"
Hyundai Elite i20 [2018-2020] Magna Executive 1.2,Hyundai,Elite i20,2018,blue,hatchback,19056,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,82.85,113.7,18.6,BS V,"6,25,000"
Volkswagen Ameo [2016-2020] Highline1.2L Plus (P),Volkswagen,Ameo,2017,brown,sedan,32492,1st,5,petrol,45,MPI Petrol Engine,1198,5-Speed,Manual,73.75,110,17,BS V,"5,67,000"
Maruti Suzuki Celerio [2014-2021] VXi,Maruti Suzuki,Celerio,2014,yellow,hatchback,22598,1st,5,petrol,35,K10B,998,5-Speed,Manual,67.04,90,23.1,BS IV,"3,71,000"
Hyundai Creta [2018-2020] 1.6 SX,Hyundai,Creta,2019,grey,suv,85981,1st,5,diesel,55,U2 VGT CRDi,1582,6-Speed,Automatic,126,260,15.8,BS V,"10,76,000"
Toyota Etios Liva [2017-2020] VX Dual Tone,Toyota,Etios Liva,2017,blue,hatchback,17791,1st,5,petrol,45,"4-Cylinder 16V, DOHC",1197,5-Speed,Manual,79,104,18.16,BS V,"5,87,000"
Hyundai i10 [2010-2016] Sportz Petrol,Hyundai,i10,2016,white,hatchback,26910,2nd,5,petrol,35,DOHC Kappa2 Engine,1197,5-Speed,Manual,78.9,111.8,20.36,BS III,"3,96,000"
Maruti Suzuki Swift Dzire [2012-2017] ZXI,Maruti Suzuki,Swift Dzire,2014,blue,sedan,28562,1st,5,petrol,42,K Series VVT Engine,1197,5-Speed,Manual,85.8,114,19.1,BS IV,"5,54,000"
Hyundai Verna [2017-2020] 1.6 VTVT SX,Hyundai,Verna,2019,white,sedan,40345,1st,5,petrol,43,Front Wheel Drive,1591,6-Speed,Automatic,121,158,17.4,BS V,"9,84,000"
Maruti Suzuki Celerio [2014-2021] VXi AMT,Maruti Suzuki,Celerio,2019,grey,hatchback,19550,1st,5,petrol,35,K10B,998,5-Speed,Manual,67.04,90,23.1,BS IV,"5,07,000"
Hyundai Elite i20 [2014-2018] Sportz 1.2,Hyundai,Elite i20,2017,red,hatchback,54233,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,"5,86,000"
Maruti Suzuki Baleno [2015-2019] Zeta Petrol,Maruti Suzuki,Baleno,2017,blue,hatchback,33113,1st,5,petrol,37,1.2L VVT Engine,1197,5-Speed,Manual,81.8,113,21.01,BS V,"6,39,000"
Maruti Suzuki Alto K10 [2010-2014] VXi,Maruti Suzuki,Alto K10,2011,red,hatchback,79565,1st,5,petrol,35,K Series Petrol Engine,998,5-Speed,Manual,67.1,90,20.92,BS IV,"2,37,000"
Honda Amaze [2013-2018] 1.2 VX AT i-VTEC,Honda,Amaze,2013,white,sedan,10651,1st,5,petrol,35,"4-Cylinder, SOHC i-VTEC",1198,5-Speed,Manual,86.9,109,18,BS IV,"5,36,000"
Renault Kwid 1.0 RXL AMT,Renault,Kwid,2020,bronze,hatchback,27664,1st,5,petrol,28,1.0L,999,5-Speed,Manual,67,91,21.7,BS IV,"4,56,000"
Hyundai New i20 Asta (O) 1.0 Turbo DCT,Hyundai,New i20,2021,red,hatchback,13389,1st,5,petrol,37,1.0 l Turbo GDi,998,7-Speed,Automatic,118,172,20.2,BS IV,"11,07,000"
Hyundai Elite i20 [2014-2018] Asta 1.2 (O),Hyundai,Elite i20,2016,grey,hatchback,30797,2nd,5,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,5-Speed,Manual,82,115,18.6,BS IV,"5,71,000"
Honda Mobilio [2014-2017] S Petrol,Honda,Mobilio,2015,grey,muv,48947,1st,7,petrol,42,1.5L i-VTEC,1497,5-Speed,Manual,118,145,17.3,BS IV,"5,87,000"
Honda Amaze [2013-2018] 1.2 VX AT i-VTEC,Honda,Amaze,2017,white,sedan,37315,1st,5,petrol,35,"4-Cylinder, SOHC i-VTEC",1198,5-Speed,Manual,86.9,109,18,BS IV,"6,29,000"
Maruti Suzuki Swift VXI AMT,Maruti Suzuki,Swift,2022,silver,hatchback,11047,1st,5,petrol,37,VTVT Engine,1197,5-Speed,Manual,81.8,113,21.21,BS IV,"7,18,000"
Hyundai i10 [2010-2016] Sportz 1.2 Petrol,Hyundai,i10,2013,silver,hatchback,24858,1st,5,petrol,35,DOHC Kappa2 Engine,1197,5-Speed,Manual,78.9,111.8,20.36,BS III,"3,96,000"
Hyundai Venue S 1.2,Hyundai,Venue,2022,blue,suv,4839,1st,5,petrol,45,1.2 Kappa,1197,5-Speed,Manual,82,114,17.5,BS IV,"8,77,000"
Tata Altroz XZ 1.2,Tata,Altroz,2020,golden,hatchback,16329,1st,5,petrol,37,1.2 L Revotron,1199,5-Speed,Manual,84.82,113,19.05,BS IV,"7,74,000"
Maruti Suzuki Ignis [2017-2020] Zeta AMT Petrol,Maruti Suzuki,Ignis,2018,red,hatchback,57286,1st,5,petrol,32,1.2-Litre VVT Petrol Engine,1197,5-Speed,Manual,81.8,113,20.89,BS V,"5,54,000"
Tata Punch Accomplished AMT,Tata,Punch,2022,white,suv,3679,1st,5,petrol,37,1.2 Revotron,1199,6-Speed,Automatic,84,113,18.9,BS IV,"8,29,000"
Hyundai Elite i20 [2014-2018] Asta 1.2,Hyundai,Elite i20,2014,white,hatchback,96077,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,"5,30,000"
Maruti Suzuki Alto K10 [2014-2019] VXi (O),Maruti Suzuki,Alto K10,2017,grey,hatchback,30406,1st,5,petrol,35,K10B,998,5-Speed,Manual,67,90,24.07,BS V,"3,67,000"
Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT,Hyundai,Grand i10,2018,grey,hatchback,60873,1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.86,113.75,18.9,BS V,"5,50,000"
Maruti Suzuki Ignis [2017-2020] Alpha AMT Petrol,Maruti Suzuki,Ignis,2018,blue,hatchback,24811,1st,5,petrol,32,1.2-Litre VVT Petrol Engine,1197,5-Speed,Manual,81.8,113,20.89,BS V,"6,60,000"
Hyundai New i20 Asta (O) 1.0 Turbo DCT,Hyundai,New i20,2021,red,hatchback,56275,1st,5,petrol,37,1.0 l Turbo GDi,998,7-Speed,Automatic,118,172,20.2,BS IV,"9,98,000"
Hyundai Verna [2017-2020] 1.6 CRDI SX (O),Hyundai,Verna,2018,silver,sedan,78981,1st,5,diesel,43,Front Wheel Drive,1582,6-Speed,Automatic,126,260,24.75,BS V,"10,12,000"
Honda City ZX CVT,Honda,City,2021,silver,sedan,7434,1st,5,petrol,40,1.5L i-VTEC DOHC with VTC Petrol Engine,1498,7-Speed,Automatic,119.35,145,17,BS IV,"15,37,000"
Hyundai New i20 Asta (O) 1.2 MT,Hyundai,New i20,2021,blue,hatchback,10730,1st,5,petrol,37,1.2 l Kappa petrol,1197,5-Speed,Manual,82,115,21,BS IV,"9,08,000"
Renault Kwid [2017-2019] CLIMBER 1.0 AMT,Renault,Kwid,2019,bronze,hatchback,21996,1st,5,petrol,28,Petrol Engine,999,5-Speed,Manual,67,91,22,BS V,"5,08,000"
Maruti Suzuki S-Presso VXI,Maruti Suzuki,S-Presso,2019,blue,hatchback,3474,1st,5,petrol,27,K10B Petrol Engine,998,5-Speed,Manual,67,90,21.7,BS IV,"4,17,000"
Maruti Suzuki Dzire [2017-2020] VDi AMT,Maruti Suzuki,Dzire,2017,brown,sedan,64458,1st,5,diesel,37, DDiS Diesel Engine,1248,5-Speed,Manual,74,190,28.4,BS V,"7,25,000"
Hyundai New i20 Asta 1.0 Turbo IMT,Hyundai,New i20,2020,white,hatchback,24360,1st,5,petrol,37,1.0 l Turbo GDi,998,6-Speed,Automatic,118,172,20.2,BS IV,"9,80,000"
Mahindra TUV300 [2015-2020] T8 mHAWK100 AMT,Mahindra,TUV300,2017,blue,suv,69939,1st,7,diesel,60, mHawk,1493,5-Speed,Manual,100,240,18.49,BS V,"7,96,000"
Hyundai i10 [2010-2016] Magna Petrol,Hyundai,i10,2016,silver,hatchback,35387,1st,5,petrol,35,4 cylinder inline petrol engine,1197,5-Speed,Manual,68,99.08,19.81,BS III,"4,35,000"
Maruti Suzuki Baleno [2015-2019] Alpha Petrol,Maruti Suzuki,Baleno,2015,blue,hatchback,63035,2nd,5,petrol,37,1.2L VVT Engine,1197,5-Speed,Manual,81.8,113,21.01,BS V,"5,54,000"
Maruti Suzuki Eeco AC 5 STR,Maruti Suzuki,Eeco,2020,silver,muv,26190,1st,5,petrol,40,Aluminium 32 bit,1197,5-Speed,Manual,72.42,98,16.11,BS IV,"4,81,000"
Maruti Suzuki Swift [2011-2017] VXI,Maruti Suzuki,Swift,2013,white,hatchback,47013,1st,5,petrol,42,K Series Petrol Engine,1197,5-Speed,Manual,85.8,114,18.6,BS IV,"4,42,000"
Hyundai Grand i10 [2017-2020] Magna 1.2 Kappa VTVT,Hyundai,Grand i10,2019,grey,hatchback,11734,1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.86,113.75,18.9,BS V,"5,30,000"
Maruti Suzuki Dzire [2017-2020] ZXi Plus AMT,Maruti Suzuki,Dzire,2018,blue,sedan,27902,1st,5,petrol,37,1.2 Litre Petrol Engine,1499,5-Speed,Manual,88.5,113,24.12,BS V,"7,59,000"
Hyundai Xcent [2014-2017] SX Petrol,Hyundai,Xcent,2015,blue,sedan,66674,2nd,5,petrol,43,1.2 Kappa Dual VTVT Petrol,1197,5-Speed,Manual,81,114,19.1,BS IV,"4,55,000"
Tata Harrier XZA Plus Dark Edition AT,Tata,Harrier,2021,black,suv,38143,1st,5,diesel,50,2.0 L Kryotec,1956,6-Speed,Automatic,140,350,17,BS IV,"19,72,000"
Maruti Suzuki Ciaz Alpha AT Petrol,Maruti Suzuki,Ciaz,2021,grey,sedan,13554,1st,5,petrol,43,K15 Smart Hybrid Petrol E,1462,4-Speed,Automatic,103.25,138,20,BS IV,"11,38,000"
Tata Altroz XZA+,Tata,Altroz,2022,red,hatchback,1540,1st,5,petrol,37,1.2 L Revotron,1199,6-Speed,Automatic,84.82,113,19.05,BS IV,"9,20,000"
Hyundai Creta SX OPT Turbo DCT Petrol,Hyundai,Creta,2021,black,suv,12285,1st,5,petrol,50,1.4L GDi Turbo Petrol,1353,7-Speed,Automatic,138,242.2,16.8,BS IV,"17,42,000"
Maruti Suzuki Baleno [2015-2019] Alpha Petrol,Maruti Suzuki,Baleno,2015,blue,hatchback,80408,1st,5,petrol,37,1.2L VVT Engine,1197,5-Speed,Manual,81.8,113,21.01,BS V,"5,68,000"
Maruti Suzuki Wagon R 1.0 [2015-2019] VXI AMT,Maruti Suzuki,Wagon R 1.0,2016,white,hatchback,83377,1st,5,petrol,32,K10B Petrol Engine,998,5-Speed,Manual,67.05,90,21.79,BS V,"4,19,000"
Renault Kwid 1.0 RXT Opt,Renault,Kwid,2020,bronze,hatchback,21887,1st,5,petrol,28,Petrol Engine,999,5-Speed,Manual,67,91,22,BS IV,"4,76,000"
Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT,Hyundai,Grand i10,2019,grey,hatchback,40498,1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.86,113.75,18.9,BS V,"5,77,000"
Hyundai New Santro 1.1 Sportz MT,Hyundai,New Santro 1.1,2020,white,hatchback,18065,1st,5,petrol,35,1.1 L Petrol,1086,5-Speed,Manual,68.07,99.07,20.3,BS IV,"5,41,000"
Volkswagen Vento [2015-2019] Highline Petrol AT,Volkswagen,Vento,2016,grey,sedan,70958,1st,5,petrol,55,TSI Engine,1197,7-Speed,Automatic,103,175,18.19,BS V,"7,30,000"
Tata Harrier XZ Dual Tone,Tata,Harrier,2021,white,suv,16090,1st,5,diesel,50,Kryotec 2.0 L Turbocharge,1956,6-Speed,Automatic,138,350,17,BS IV,"18,75,000"
Ford EcoSport [2013-2015] Titanium 1.5L Ti-VCT AT,Ford,EcoSport,2015,grey,suv,55617,2nd,5,petrol,52,1.5L Ti-VCT (Petrol),1499,6-Speed,Automatic,109,140,16.5,BS III,"6,22,000"
Hyundai Verna [2017-2020] 1.6 CRDI SX,Hyundai,Verna,2018,brown,sedan,87773,1st,5,diesel,43,Front Wheel Drive,1582,6-Speed,Automatic,121,158,24.75,BS V,"9,37,000"
Hyundai i20 Active [2015-2020] 1.2 SX,Hyundai,i20 Active,2016,brown,crossover,54744,1st,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,5-Speed,Manual,82,115,17.19,BS V,"6,25,000"
Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT,Hyundai,Grand i10,2020,grey,hatchback,18915,2nd,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.86,113.75,18.9,BS V,"6,09,000"
Hyundai Elite i20 [2014-2018] Asta 1.2 (O),Hyundai,Elite i20,2016,white,hatchback,97573,1st,5,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,5-Speed,Manual,82,115,18.6,BS IV,"5,71,000"
Renault Kwid [2015-2019] RXL,Renault,Kwid,2019,grey,hatchback,4776,1st,5,petrol,28,Petrol Engine,799,5-Speed,Manual,53.3,72,25.17,BS V,"4,12,000"
Hyundai i20 Active [2015-2020] 1.2 S,Hyundai,i20 Active,2018,white,crossover,24676,2nd,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,5-Speed,Manual,82,115,17.19,BS V,"6,38,000"
Maruti Suzuki S-Cross [2017-2020] Zeta 1.3,Maruti Suzuki,S-Cross,2018,blue,suv,52291,2nd,5,diesel,48,DDiS 200,1248,5-Speed,Manual,89,200,23.65,BS V,"8,07,000"
Hyundai Elite i20 [2014-2018] Asta 1.2 (O),Hyundai,Elite i20,2017,white,hatchback,49775,2nd,5,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,5-Speed,Manual,82,115,18.6,BS IV,"5,90,000"
Maruti Suzuki S-Cross [2015-2020] Sigma 1.3,Maruti Suzuki,S-Cross,2017,brown,suv,83551,1st,5,diesel,48,DDiS 200,1248,5-Speed,Manual,89,200,23.65,BS V,"6,51,000"
Hyundai i20 Active [2015-2020] 1.2 SX,Hyundai,i20 Active,2018,brown,crossover,34075,2nd,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,5-Speed,Manual,82,115,17.19,BS V,"6,94,000"
Honda City ZX,Honda,City,2020,brown,sedan,14414,1st,5,petrol,40,1.5L i-VTEC DOHC with VTC Petrol Engine,1498,6-Speed,Automatic,119.35,145,18.4,BS IV,"13,64,000"
Ford EcoSport [2017-2021] Titanium 1.5L Ti-VCT,Ford,EcoSport,2018,brown,suv,35796,1st,5,petrol,52,Ti-VCT Petrol Engine,1496,5-Speed,Manual,120.69,149,15.9,BS IV,"7,83,000"
Maruti Suzuki Swift [2017-2021] VXI AMT,Maruti Suzuki,Swift,2020,red,hatchback,38199,2nd,5,petrol,37,VTVT Engine,1197,5-Speed,Manual,81.8,113,21.21,BS IV,"6,28,000"
Nissan Magnite XV Premium Turbo (O),Nissan,Magnite,2021,silver,suv,8197,1st,5,petrol,40,1.0L HRAO Turbo,999,5-Speed,Manual,99,160,20,BS IV,"8,85,000"
Maruti Suzuki Baleno [2015-2019] Zeta AT Petrol,Maruti Suzuki,Baleno,2018,grey,hatchback,27626,1st,5,petrol,37,1.2L VVT Engine,1197,CVT,Automatic,81.8,113,19.56,BS V,"7,24,000"
Hyundai Xcent [2014-2017] S (O) Petrol,Hyundai,Xcent,2014,blue,sedan,48106,1st,5,petrol,43,1.2 Kappa Dual VTVT Petrol,1197,5-Speed,Manual,81,114,19.1,BS IV,"4,70,000"
Maruti Suzuki Ciaz Alpha Petrol,Maruti Suzuki,Ciaz,2021,grey,sedan,12031,1st,5,petrol,43,K15 Smart Hybrid Petrol E,1499,5-Speed,Manual,103.25,138,20.65,BS IV,"10,85,000"
Maruti Suzuki Celerio ZXi AMT,Maruti Suzuki,Celerio,2021,grey,hatchback,5992,1st,5,petrol,35,K10B Engine,998,5-Speed,Manual,67.04,90,21.63,BS IV,"6,20,000"
Volkswagen Polo [2018-2022] Trendline 1.0 (P),Volkswagen,Polo,2020,red,hatchback,20427,1st,5,petrol,45,1.0L MPI Petrol,999,5-Speed,Manual,75.1,95,17.74,BS IV,"6,59,000"
Tata Altroz XZ Plus Turbo,Tata,Altroz,2022,red,hatchback,8560,1st,5,petrol,37,1.2 L Revotron,1199,5-Speed,Manual,108,140,18.1,BS IV,"9,53,000"
Hyundai Creta [2018-2020] 1.6 SX OPT VTVT,Hyundai,Creta,2019,red,suv,58693,1st,5,petrol,55,VTVT Petrol Engine,1591,6-Speed,Automatic,121.3,151,15.8,BS V,"11,73,000"
Maruti Suzuki S-Presso VXI,Maruti Suzuki,S-Presso,2020,grey,hatchback,18282,1st,5,petrol,27,K10B Petrol Engine,998,5-Speed,Manual,67,90,21.7,BS IV,"4,57,000"
Maruti Suzuki S-Presso VXI,Maruti Suzuki,S-Presso,2020,grey,hatchback,17214,1st,5,petrol,27,K10B Petrol Engine,998,5-Speed,Manual,67,90,21.7,BS IV,"4,61,000"
Maruti Suzuki Swift [2011-2017] VDi,Maruti Suzuki,Swift,2013,red,hatchback,77692,1st,5,diesel,43,DDiS Diesel Engine,1248,5-Speed,Manual,74,190,22.9,BS IV,"4,71,000"
Maruti Suzuki Ciaz Delta Petrol,Maruti Suzuki,Ciaz,2020,white,sedan,10381,1st,5,petrol,43,K15 Smart Hybrid Petrol E,1462,5-Speed,Manual,103.25,138,20.65,BS IV,"9,02,000"
Honda WR-V VX i-VTEC,Honda,WR-V,2017,silver,suv,28831,1st,5,petrol,40,i-VTEC Petrol engine,1199,5-Speed,Manual,88.5,110,16.5,BS IV,"7,91,000"
Toyota Etios [2010-2017] G,Toyota,Etios,2014,grey,sedan,72359,1st,5,petrol,45,4 cylinder petrol engine,1496,5-Speed,Manual,90,132,17.57,BS IV,"5,06,000"
Maruti Suzuki Dzire [2017-2020] ZXI,Maruti Suzuki,Dzire,2017,blue,sedan,36922,2nd,5,petrol,37,1.2 Litre Petrol Engine,1197,5-Speed,Manual,88.5,113,23.26,BS V,"5,94,000"
Hyundai i10 [2010-2016] Sportz AT Petrol,Hyundai,i10,2013,silver,hatchback,72356,1st,5,petrol,35,DOHC Kappa2 Engine,1197,4-Speed,Automatic,78.9,111.8,16.95,BS III,"3,62,000"
Hyundai Verna [2017-2020] 1.6 CRDI SX,Hyundai,Verna,2018,white,sedan,55760,1st,5,diesel,43,Front Wheel Drive,1582,6-Speed,Automatic,121,158,24.75,BS V,"9,14,000"
Hyundai Elite i20 [2014-2018] Sportz 1.2,Hyundai,Elite i20,2015,red,hatchback,77836,1st,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,"5,44,000"
Volkswagen Vento [2010-2015] Highline Petrol,Volkswagen,Vento,2014,silver,sedan,68269,2nd,5,petrol,55,MPI Petrol Engine,1598,5-Speed,Manual,103.2,153,16.09,BS III,"5,13,000"
Renault Triber RXZ AMT,Renault,Triber,2020,yellow,muv,62659,1st,7,petrol,40,1.0L Petrol Engine,999,5-Speed,Manual,72,96,18.2,BS IV,"7,37,000"
Maruti Suzuki Dzire [2017-2020] ZXi Plus,Maruti Suzuki,Dzire,2018,brown,sedan,59847,1st,5,petrol,37,1.2 Litre Petrol Engine,1197,5-Speed,Manual,88.5,113,23.26,BS V,"6,64,000"
Hyundai Verna [2017-2020] 1.6 CRDI SX (O),Hyundai,Verna,2018,white,sedan,83607,1st,5,diesel,43,Front Wheel Drive,1582,6-Speed,Automatic,126,260,24.75,BS V,"10,27,000"
Hyundai Elite i20 [2014-2018] Asta 1.2,Hyundai,Elite i20,2015,silver,hatchback,33439,2nd,5,petrol,45,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.83,114.7,18.6,BS IV,"5,75,000"
Honda WR-V i-DTEC VX,Honda,WR-V,2018,silver,suv,81799,1st,5,diesel,40,i-DTEC Diesel engine,1498,6-Speed,Automatic,97.89,200,23.7,BS IV,"8,42,000"
Volkswagen Polo [2018-2020] Highline Plus 1.0 (P),Volkswagen,Polo,2019,silver,hatchback,30378,1st,5,petrol,45,1.0L MPI Petrol,999,5-Speed,Manual,74.96,95,18.24,BS V,"7,42,000"
Nissan Magnite XV Premium Turbo CVT (O),Nissan,Magnite,2022,red,suv,5129,1st,5,petrol,40,1.0L HRAO Turbo,999,CVT,Automatic,99,152,17.7,BS IV,"10,71,000"
Hyundai Venue SX 1.0  Turbo,Hyundai,Venue,2021,blue,suv,8873,1st,5,petrol,45,Kappa 1.0 L Turbo GDi Petrol,998,6-Speed,Automatic,118.35,171.6,18.27,BS IV,"10,44,000"
Hyundai Verna [2011-2015] Fluidic 1.6 CRDi SX Opt AT,Hyundai,Verna,2014,blue,sedan,78297,2nd,5,diesel,43,Front Wheel Drive,1582,4-Speed,Automatic,126,260,17,BS III,"6,39,000"
JEEP Compass [2017-2021] Limited 2.0 Diesel 4x4,Jeep,Compass,2017,white,suv,50808,1st,5,diesel,60,2.0-Litre 4-Cyl Multijet,1956,6-Speed,Automatic,170,350,16.3,BS IV,"16,49,000"
Maruti Suzuki Alto 800 Vxi,Maruti Suzuki,Alto 800,2020,grey,hatchback,16384,1st,5,petrol,35,F8D Petrol Engine,796,5-Speed,Manual,47.3,69,22.05,BS IV,"3,92,000"
Tata Tiago Revotron XZ Plus,Tata,Tiago,2020,yellow,hatchback,16123,1st,5,petrol,35,Revotron Engine,1199,5-Speed,Manual,85,113,20,BS IV,"6,26,000"
Hyundai Eon [2011-2018] Magna +,Hyundai,Eon,2016,red,hatchback,47487,2nd,5,petrol,32,Kappa Engine,814,5-Speed,Manual,68.05,94.14,20.03,BS IV,"3,20,000"
Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT,Hyundai,Grand i10,2019,grey,hatchback,25632,1st,5,petrol,43,Kappa VTVT Petrol Engine,1197,5-Speed,Manual,81.86,113.75,18.9,BS V,"5,79,000"
Volkswagen Ameo [2016-2020] Highline1.2L (P),Volkswagen,Ameo,2017,grey,sedan,33269,1st,5,petrol,45,MPI Petrol Engine,1198,5-Speed,Manual,73.75,110,17,BS V,"6,08,000"
Maruti Suzuki Swift [2017-2020] ZDi Plus,Maruti Suzuki,Swift,2018,red,hatchback,73950,1st,5,diesel,42,"DDis Diesel,CRDI",1248,5-Speed,Manual,74,190,25.2,BS V,"7,73,000"
